央视频道,#genre#
CCTV-1综合,http://60.18.216.116:9527/rtp/232.0.0.27:8808
CCTV-1综合,http://60.18.216.116:9527/rtp/232.0.0.1:8628		 
CCTV-2财经,http://60.18.216.116:9527/rtp/232.0.0.2:8738		 
CCTV-2财经,http://60.18.216.116:9527/rtp/232.0.0.132:9144
CCTV-3综艺,http://60.18.216.116:9527/rtp/232.0.0.198:9214		 
CCTV-3综艺,http://60.18.216.116:9527/rtp/232.0.0.163:9330		 
CCTV-4中文国际,http://60.18.216.116:9527/rtp/232.0.0.148:9142
CCTV-4中文国际,http://60.18.216.116:9527/rtp/232.0.0.4:8504		 
CCTV-4中文国际欧洲,http://60.18.216.116:9527/rtp/232.0.0.210:9238		 
CCTV-4中文国际美洲,http://60.18.216.116:9527/rtp/232.0.0.145:9110	 
CCTV-5体育,http://60.18.216.116:9527/rtp/232.0.0.164:9332		 
CCTV-5体育,http://60.18.216.116:9527/rtp/232.0.0.93:8750		 
CCTV-5体育,http://60.18.216.116:9527/rtp/232.0.0.196:9210		 
CCTV-5体育,http://60.18.216.116:9527/rtp/232.0.0.92:8502	 
CCTV-6电影,http://60.18.216.116:9527/rtp/232.0.0.194:9206		 
CCTV-6电影,http://60.18.216.116:9527/rtp/232.0.0.165:9334		 
CCTV-7国防军事,http://60.18.216.116:9527/rtp/232.0.0.7:8508		 
CCTV-7国防军事,http://60.18.216.116:9527/rtp/232.0.0.133:9146
CCTV-8电视剧,http://60.18.216.116:9527/rtp/232.0.0.166:9336		 
CCTV-8电视剧,http://60.18.216.116:9527/rtp/232.0.0.28:8710		 
CCTV-9纪录,http://60.18.216.116:9527/rtp/232.0.0.134:9148
CCTV-9纪录,http://60.18.216.116:9527/rtp/232.0.0.5:8514		 
CCTV-10科教,http://60.18.216.116:9527/rtp/232.0.0.10:8516		 
CCTV-10科教,http://60.18.216.116:9527/rtp/232.0.0.135:9150
CCTV-11戏曲,http://60.18.216.116:9527/rtp/232.0.0.168:9340		 
CCTV-11戏曲,http://60.18.216.116:9527/rtp/232.0.0.11:8518		 
CCTV-12社会与法,http://60.18.216.116:9527/rtp/232.0.0.12:8520		 
